Zone;Année;Valeur (en million d'hab)
Afghanistan;2017-2019;11.1
Afrique du Sud;2017-2019;3.3
Albanie;2017-2019;0.1
Algérie;2017-2019;1.2
Allemagne;2017-2019;
Andorre;2017-2019;
Angola;2017-2019;5.7
Antigua-et-Barbuda;2017-2019;
Arabie saoudite;2017-2019;1.6
Argentine;2017-2019;1.7
Arménie;2017-2019;<0.1
Australie;2017-2019;
Autriche;2017-2019;
Azerbaïdjan;2017-2019;
Bahamas;2017-2019;
Bahreïn;2017-2019;
Bangladesh;2017-2019;20.9
Barbade;2017-2019;<0.1
Bélarus;2017-2019;
Belgique;2017-2019;
Belize;2017-2019;<0.1
Bénin;2017-2019;0.8
Bermudes;2017-2019;
Bhoutan;2017-2019;
Bolivie (État plurinational de);2017-2019;1.8
Bosnie-Herzégovine;2017-2019;
Botswana;2017-2019;0.5
Brésil;2017-2019;
Brunéi Darussalam;2017-2019;
Bulgarie;2017-2019;0.2
Burkina Faso;2017-2019;3.8
Burundi;2017-2019;
Cabo Verde;2017-2019;0.1
Cambodge;2017-2019;2.4
Cameroun;2017-2019;1.6
Canada;2017-2019;
Chili;2017-2019;0.7
Chine - RAS de Hong-Kong;2017-2019;
Chine - RAS de Macao;2017-2019;<0.1
Chine ( continentale);2017-2019;
Chine ( Taiwan Province de);2017-2019;0.8
Chypre;2017-2019;<0.1
Colombie;2017-2019;2.7
Comores;2017-2019;
Congo;2017-2019;1.5
Costa Rica;2017-2019;0.2
Côte d'Ivoire;2017-2019;5
Croatie;2017-2019;
Cuba;2017-2019;
Danemark;2017-2019;
Djibouti;2017-2019;
Dominique;2017-2019;<0.1
Égypte;2017-2019;4.6
El Salvador;2017-2019;0.6
Émirats arabes unis;2017-2019;0.3
Équateur;2017-2019;1.5
Érythrée;2017-2019;
Espagne;2017-2019;
Estonie;2017-2019;
Eswatini;2017-2019;0.2
États-Unis d'Amérique;2017-2019;
Éthiopie;2017-2019;21.5
Fédération de Russie;2017-2019;
Fidji;2017-2019;<0.1
Finlande;2017-2019;
France;2017-2019;
Gabon;2017-2019;0.4
Gambie;2017-2019;0.3
Géorgie;2017-2019;0.3
Ghana;2017-2019;1.9
Grèce;2017-2019;
Grenade;2017-2019;
Groenland;2017-2019;
Guatemala;2017-2019;2.8
Guinée;2017-2019;
Guinée équatoriale;2017-2019;
Guinée-Bissau;2017-2019;
Guyana;2017-2019;<0.1
Haïti;2017-2019;5.4
Honduras;2017-2019;1.3
Hongrie;2017-2019;
Îles Cook;2017-2019;
Îles Marshall;2017-2019;
Îles Salomon;2017-2019;<0.1
Inde;2017-2019;189.2
Indonésie;2017-2019;24.1
Iran (République islamique d');2017-2019;3.9
Iraq;2017-2019;9.1
Irlande;2017-2019;
Islande;2017-2019;
Israël;2017-2019;
Italie;2017-2019;
Jamaïque;2017-2019;0.3
Japon;2017-2019;
Jordanie;2017-2019;0.9
Kazakhstan;2017-2019;
Kenya;2017-2019;11.8
Kirghizistan;2017-2019;0.4
Kiribati;2017-2019;<0.1
Koweït;2017-2019;
Lesotho;2017-2019;0.7
Lettonie;2017-2019;
Liban;2017-2019;0.4
Libéria;2017-2019;1.8
Libye;2017-2019;
Lituanie;2017-2019;
Luxembourg;2017-2019;
Macédoine du Nord;2017-2019;<0.1
Madagascar;2017-2019;11
Malaisie;2017-2019;0.9
Malawi;2017-2019;3.4
Maldives;2017-2019;
Mali;2017-2019;1
Malte;2017-2019;
Maroc;2017-2019;1.6
Maurice;2017-2019;<0.1
Mauritanie;2017-2019;0.5
Mexique;2017-2019;9
Micronésie (États fédérés de);2017-2019;
Mongolie;2017-2019;0.7
Monténégro;2017-2019;
Mozambique;2017-2019;9.6
Myanmar;2017-2019;7.6
Namibie;2017-2019;0.4
Nauru;2017-2019;
Népal;2017-2019;1.7
Nicaragua;2017-2019;1.1
Niger;2017-2019;
Nigéria;2017-2019;24.6
Nioué;2017-2019;
Norvège;2017-2019;
Nouvelle-Calédonie;2017-2019;<0.1
Nouvelle-Zélande;2017-2019;
Oman;2017-2019;0.4
Ouganda;2017-2019;
Ouzbékistan;2017-2019;0.8
Pakistan;2017-2019;26.1
Palaos;2017-2019;
Palestine;2017-2019;
Panama;2017-2019;0.3
Papouasie-Nouvelle-Guinée;2017-2019;
Paraguay;2017-2019;0.6
Pays-Bas;2017-2019;
Pérou;2017-2019;2.2
Philippines;2017-2019;15.4
Pologne;2017-2019;
Polynésie française;2017-2019;<0.1
Porto Rico;2017-2019;
Portugal;2017-2019;
Qatar;2017-2019;
République arabe syrienne;2017-2019;
République centrafricaine;2017-2019;
République de Corée;2017-2019;
République de Moldova;2017-2019;
République démocratique du Congo;2017-2019;
République démocratique populaire lao;2017-2019;
République dominicaine;2017-2019;0.6
République populaire démocratique de Corée;2017-2019;12.2
République-Unie de Tanzanie;2017-2019;14.1
Roumanie;2017-2019;
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;2017-2019;
Rwanda;2017-2019;4.4
Sainte-Lucie;2017-2019;
Saint-Kitts-et-Nevis;2017-2019;
Saint-Vincent-et-les Grenadines;2017-2019;<0.1
Samoa;2017-2019;
Samoa américaines;2017-2019;
Sao Tomé-et-Principe;2017-2019;<0.1
Sénégal;2017-2019;1.5
Serbie;2017-2019;0.4
Seychelles;2017-2019;
Sierra Leone;2017-2019;2
Singapour;2017-2019;
Slovaquie;2017-2019;0.3
Slovénie;2017-2019;
Somalie;2017-2019;
Soudan;2017-2019;5.2
Soudan du Sud;2017-2019;
Sri Lanka;2017-2019;1.6
Suède;2017-2019;
Suisse;2017-2019;
Suriname;2017-2019;<0.1
Tadjikistan;2017-2019;
Tchad;2017-2019;6.1
Tchéquie;2017-2019;
Thaïlande;2017-2019;6.5
Timor-Leste;2017-2019;0.4
Togo;2017-2019;1.6
Tokélaou;2017-2019;
Tonga;2017-2019;
Trinité-et-Tobago;2017-2019;<0.1
Tunisie;2017-2019;
Turkménistan;2017-2019;0.2
Turquie;2017-2019;
Tuvalu;2017-2019;
Ukraine;2017-2019;1.6
Uruguay;2017-2019;
Vanuatu;2017-2019;<0.1
Venezuela (République bolivarienne du);2017-2019;9.1
Viet Nam;2017-2019;6.1
Yémen;2017-2019;
Zambie;2017-2019;
Zimbabwe;2017-2019;
